date,ticker,firm_low,firm_high,prev_close,next_date,actual_close,atm_iv,sigma_daily,our_iv_low,our_iv_high,our_rv_low,our_rv_high,our_blend_low,our_blend_high,firm_hit,our_iv_hit,our_rv_hit,our_blend_hit
2026-06-04,MSFT,410.0000,460.0000,427.0000,2026-06-05,416.6700,0.9530,0.0223,401.3662,452.6338,417.4680,436.5320,409.4171,444.5829,True,True,False,True
2026-06-04,AAPL,301.0000,317.0000,310.0000,2026-06-05,307.3400,0.4048,0.0111,302.0952,317.9048,306.5474,313.4526,304.3213,315.6787,True,True,True,True
2026-06-04,AMZN,245.0000,274.0000,250.0000,2026-06-05,246.0300,0.4180,0.0165,243.4175,256.5825,245.8843,254.1157,244.6509,255.3491,True,True,True,True
2026-06-04,META,585.0000,635.0000,623.0000,2026-06-05,592.4509,0.7094,0.0195,595.1602,650.8398,610.8603,635.1397,603.0103,642.9897,True,False,False,False
2026-06-04,GOOGL,355.0000,400.0000,359.0000,2026-06-05,368.3100,0.3965,0.0193,350.0323,367.9677,352.0760,365.9240,351.0542,366.9458,True,False,False,False
2026-06-04,NFLX,79.0000,87.0000,82.0000,2026-06-05,82.1800,0.3735,0.0145,80.0705,83.9295,80.8079,83.1921,80.4392,83.5608,True,True,True,True
2026-06-04,TSLA,408.0000,446.0000,424.0000,2026-06-05,391.0000,0.4941,0.0268,410.8016,437.1984,412.6520,435.3480,411.7268,436.2732,False,False,False,False
2026-06-04,NVDA,207.0000,228.0000,215.0000,2026-06-05,205.1000,0.4152,0.0255,209.3771,220.6229,209.5076,220.4924,209.4423,220.5577,False,False,False,False
2026-06-04,ORCL,209.0000,255.0000,230.0000,2026-06-05,213.6800,0.9448,0.0426,216.3107,243.6893,220.2102,239.7898,218.2605,241.7395,True,False,False,False
2026-06-05,MSFT,405.0000,460.0000,428.0000,2026-06-08,411.7400,0.9944,0.0229,401.1898,454.8102,418.1881,437.8119,409.6890,446.3110,True,True,False,True
2026-06-05,AAPL,303.0000,317.0000,311.0000,2026-06-08,301.5400,0.3880,0.0117,303.3987,318.6013,307.3582,314.6418,305.3785,316.6215,False,False,False,False
2026-06-05,AMZN,245.0000,275.0000,254.0000,2026-06-08,245.2200,0.4191,0.0174,247.2942,260.7058,249.5820,258.4180,248.4381,259.5619,True,False,False,False
2026-06-05,META,590.0000,635.0000,628.0000,2026-06-08,584.8480,0.7460,0.0232,598.4890,657.5110,613.4590,642.5410,605.9740,650.0260,False,False,False,False
2026-06-05,GOOGL,355.0000,400.0000,372.0000,2026-06-08,363.3100,0.3117,0.0193,364.6954,379.3046,364.8099,379.1901,364.7526,379.2474,True,False,False,False
2026-06-05,NFLX,79.0000,87.0000,82.0000,2026-06-08,82.6400,0.3735,0.0147,80.0705,83.9295,80.7909,83.2091,80.4307,83.5693,True,True,True,True
2026-06-05,TSLA,409.0000,445.0000,418.0000,2026-06-08,408.9500,0.4398,0.0298,406.4207,429.5793,405.5338,430.4662,405.9772,430.0228,False,True,True,True
2026-06-05,NVDA,207.0000,226.0000,219.0000,2026-06-08,208.6400,0.4541,0.0291,212.7353,225.2647,212.6290,225.3710,212.6822,225.3178,True,False,False,False
2026-06-05,ORCL,202.0000,264.0000,236.0000,2026-06-08,211.8200,1.1941,0.0488,218.2482,253.7518,224.4839,247.5161,221.3661,250.6339,True,False,False,False
2026-06-08,MSFT,398.0000,432.0000,417.0000,2026-06-09,403.4100,0.5881,0.0229,401.5517,432.4483,407.4595,426.5405,404.5056,429.4944,True,True,False,False
2026-06-08,AAPL,301.0000,317.0000,307.0000,2026-06-09,290.5500,0.3080,0.0120,301.0442,312.9558,303.3146,310.6854,302.1794,311.8206,False,False,False,False
2026-06-08,AMZN,240.0000,275.0000,246.0000,2026-06-09,244.1900,0.3220,0.0172,241.0108,250.9892,241.7614,250.2386,241.3861,250.6139,True,True,True,True
2026-06-08,META,577.0000,626.0000,593.0000,2026-06-09,584.0487,0.3751,0.0232,578.9869,607.0131,579.2525,606.7475,579.1197,606.8803,True,True,True,True
2026-06-08,GOOGL,353.0000,402.0000,369.0000,2026-06-09,364.2600,0.3071,0.0193,361.8627,376.1373,361.8870,376.1130,361.8748,376.1252,True,True,True,True
2026-06-08,NFLX,78.0000,87.0000,82.0000,2026-06-09,81.4100,0.3735,0.0148,80.0705,83.9295,80.7843,83.2157,80.4274,83.5726,True,True,True,True
2026-06-08,TSLA,375.0000,425.0000,391.0000,2026-06-09,396.6800,0.4357,0.0303,380.2672,401.7328,379.1633,402.8367,379.7153,402.2847,True,True,True,True
2026-06-08,NVDA,202.0000,227.0000,205.0000,2026-06-09,208.1900,0.4085,0.0291,199.7253,210.2747,199.0379,210.9621,199.3816,210.6184,True,True,True,True
2026-06-08,ORCL,200.0000,248.0000,214.0000,2026-06-09,205.8100,0.7577,0.0489,203.7854,224.2146,203.5347,224.4653,203.6601,224.3399,True,True,True,True
2026-06-09,MSFT,395.0000,431.0000,412.0000,2026-06-10,397.3600,0.5490,0.0233,397.7527,426.2473,402.4036,421.5964,400.0782,423.9218,True,False,False,False
2026-06-09,AAPL,298.0000,316.0000,302.0000,2026-06-10,291.5800,0.2429,0.0147,297.3799,306.6201,297.5592,306.4408,297.4695,306.5305,False,False,False,False
2026-06-09,AMZN,236.0000,260.0000,245.0000,2026-06-10,238.0000,0.3214,0.0171,240.0394,249.9606,240.8063,249.1937,240.4228,249.5772,True,False,False,False
2026-06-09,META,575.0000,627.0000,585.0000,2026-06-10,570.4513,0.3767,0.0229,571.1197,598.8803,571.6157,598.3843,571.3677,598.6323,False,False,False,False
2026-06-09,GOOGL,347.0000,399.0000,363.0000,2026-06-10,356.3800,0.3374,0.0184,355.2851,370.7149,356.3370,369.6630,355.8111,370.1889,True,True,True,True
2026-06-09,NFLX,78.0000,86.0000,83.0000,2026-06-10,82.0000,0.3950,0.0143,80.9346,85.0654,81.8114,84.1886,81.3730,84.6270,True,True,True,True
2026-06-09,TSLA,385.0000,422.0000,409.0000,2026-06-10,381.5900,0.4073,0.0293,398.5053,419.4947,397.0181,420.9819,397.7617,420.2383,False,False,False,False
2026-06-09,NVDA,200.0000,225.0000,209.0000,2026-06-10,200.4200,0.3673,0.0287,204.1640,213.8360,203.0082,214.9918,203.5861,214.4139,True,False,False,False
2026-06-09,ORCL,187.0000,248.0000,212.0000,2026-06-10,201.2600,0.7215,0.0494,202.3647,221.6353,201.5360,222.4640,201.9503,222.0497,True,False,False,False
2026-06-11,MSFT,384.0000,420.0000,397.0000,2026-06-12,390.7400,0.4889,0.0237,384.7727,409.2273,387.6087,406.3913,386.1907,407.8093,True,True,True,True
2026-06-11,AAPL,293.0000,316.0000,292.0000,2026-06-12,291.1300,0.3034,0.0146,286.4196,297.5804,287.7273,296.2727,287.0734,296.9266,False,True,True,True
2026-06-11,AMZN,229.0000,256.0000,238.0000,2026-06-12,238.5500,0.3760,0.0176,232.3627,243.6373,233.8155,242.1845,233.0891,242.9109,True,True,True,True
2026-06-11,META,559.0000,611.0000,571.0000,2026-06-12,566.4550,0.3635,0.0226,557.9265,584.0735,558.1145,583.8855,558.0205,583.9795,True,True,True,True
2026-06-11,GOOGL,347.0000,380.0000,356.0000,2026-06-12,359.6800,0.4296,0.0160,346.3648,365.6352,350.3141,361.6859,348.3395,363.6605,True,True,True,True
2026-06-11,NFLX,77.0000,86.0000,82.0000,2026-06-12,80.3400,0.3735,0.0130,80.0705,83.9295,80.9357,83.0643,80.5031,83.4969,True,True,False,False
2026-06-11,TSLA,367.0000,410.0000,382.0000,2026-06-12,406.4300,0.4890,0.0312,370.2330,393.7670,370.0728,393.9272,370.1529,393.8471,True,False,False,False
2026-06-11,NVDA,195.0000,218.0000,200.0000,2026-06-12,205.1900,0.5044,0.0296,193.6452,206.3548,194.0791,205.9209,193.8621,206.1379,True,True,True,True
2026-06-11,ORCL,161.0000,224.0000,201.0000,2026-06-12,184.1300,0.6170,0.0527,193.1877,208.8123,190.4005,211.5995,191.7941,210.2059,True,False,False,False
2026-06-12,MSFT,375.0000,420.0000,390.0000,2026-06-15,399.7600,0.3811,0.0235,380.6370,399.3630,380.8352,399.1648,380.7361,399.2639,True,False,False,False
2026-06-12,AAPL,285.0000,320.0000,296.0000,2026-06-15,296.4200,0.2434,0.0150,291.4621,300.5379,291.5600,300.4400,291.5111,300.4889,True,True,True,True
2026-06-12,AMZN,231.0000,255.0000,242.0000,2026-06-15,246.0200,0.3270,0.0176,237.0153,246.9847,237.7387,246.2613,237.3770,246.6230,True,True,True,True
2026-06-12,META,555.0000,611.0000,568.0000,2026-06-15,593.4800,0.3702,0.0225,554.7541,581.2459,555.2122,580.7878,554.9832,581.0168,True,False,False,False
2026-06-12,GOOGL,347.0000,378.0000,358.0000,2026-06-15,369.3500,0.4212,0.0162,348.5001,367.4999,352.2148,363.7852,350.3575,365.6425,True,False,False,False
2026-06-12,NFLX,77.0000,86.0000,81.0000,2026-06-15,81.6700,0.4048,0.0131,78.9345,83.0655,79.9408,82.0592,79.4377,82.5623,True,True,True,True
2026-06-12,TSLA,372.0000,425.0000,399.0000,2026-06-15,411.1500,0.4070,0.0317,388.7699,409.2301,386.3706,411.6294,387.5702,410.4298,True,False,True,False
2026-06-12,NVDA,195.0000,224.0000,205.0000,2026-06-15,212.4500,0.4085,0.0274,199.7253,210.2747,199.3823,210.6177,199.5538,210.4462,True,False,False,False
2026-06-12,ORCL,167.0000,218.0000,184.0000,2026-06-15,192.6400,0.5843,0.0522,177.2279,190.7721,174.3901,193.6099,175.8090,192.1910,True,False,True,False
2026-06-15,MSFT,376.0000,416.0000,391.0000,2026-06-16,393.8300,0.3827,0.0230,381.5733,400.4267,382.0018,399.9982,381.7876,400.2124,True,True,True,True
2026-06-15,AAPL,281.0000,314.0000,291.0000,2026-06-16,299.2400,0.3349,0.0155,284.8605,297.1395,286.4831,295.5169,285.6718,296.3282,True,False,False,False
2026-06-15,AMZN,231.0000,254.0000,239.0000,2026-06-16,246.0000,0.3546,0.0194,233.6617,244.3383,234.3736,243.6264,234.0177,243.9823,True,False,False,False
2026-06-15,META,548.0000,604.0000,567.0000,2026-06-16,600.2100,0.3681,0.0253,553.8537,580.1463,552.6572,581.3428,553.2555,580.7445,True,False,False,False
2026-06-15,NFLX,78.0000,85.0000,80.0000,2026-06-16,78.7200,0.3567,0.0138,78.2024,81.7976,78.8941,81.1059,78.5483,81.4517,True,True,False,True
2026-06-15,TSLA,380.0000,425.0000,406.0000,2026-06-16,404.6600,0.4007,0.0301,395.7509,416.2491,393.7863,418.2137,394.7686,417.2314,True,True,True,True
2026-06-15,NVDA,197.0000,225.0000,205.0000,2026-06-16,207.4100,0.4085,0.0274,199.7253,210.2747,199.3791,210.6209,199.5522,210.4478,True,True,True,True
2026-06-15,ORCL,170.0000,212.0000,184.0000,2026-06-16,188.3300,0.5843,0.0532,177.2279,190.7721,174.2083,193.7917,175.7181,192.2819,True,True,True,True
2026-06-16,MSFT,379.0000,415.0000,400.0000,2026-06-17,378.9100,0.4800,0.0231,387.9055,412.0945,390.7488,409.2512,389.3271,410.6729,False,False,False,False
2026-06-16,AAPL,284.0000,315.0000,296.0000,2026-06-17,295.9500,0.2434,0.0156,291.4621,300.5379,291.3904,300.6096,291.4262,300.5738,True,True,True,True
2026-06-16,AMZN,233.0000,253.0000,246.0000,2026-06-17,237.5000,0.3220,0.0193,241.0108,250.9892,241.2471,250.7529,241.1290,250.8710,True,False,False,False
2026-06-16,META,548.0000,625.0000,593.0000,2026-06-17,567.5800,0.3751,0.0254,578.9869,607.0131,577.9161,608.0839,578.4515,607.5485,True,False,False,False
2026-06-16,GOOGL,355.0000,376.0000,369.0000,2026-06-17,363.7900,0.3071,0.0179,361.8627,376.1373,362.4039,375.5961,362.1333,375.8667,True,True,True,True
2026-06-16,NFLX,79.0000,85.0000,82.0000,2026-06-17,76.9600,0.3735,0.0134,80.0705,83.9295,80.9041,83.0959,80.4873,83.5127,False,False,False,False
2026-06-16,TSLA,378.0000,424.0000,411.0000,2026-06-17,396.3800,0.4183,0.0296,400.1696,421.8304,398.8454,423.1546,399.5075,422.4925,True,False,False,False
2026-06-16,NVDA,201.0000,222.0000,212.0000,2026-06-17,204.6500,0.3694,0.0277,207.0672,216.9328,206.1209,217.8791,206.5941,217.4059,True,False,False,False
2026-06-16,ORCL,170.0000,208.0000,193.0000,2026-06-17,183.5300,0.5751,0.0529,186.0080,199.9920,182.7878,203.2122,184.3979,201.6021,True,False,True,False
2026-06-17,MSFT,376.0000,414.0000,394.0000,2026-06-18,379.4000,0.4032,0.0243,383.9920,404.0080,384.4302,403.5698,384.2111,403.7889,True,False,False,False
2026-06-17,AAPL,283.0000,313.0000,299.0000,2026-06-18,298.0100,0.2248,0.0158,294.7651,303.2349,294.2904,303.7096,294.5278,303.4722,True,True,True,True
2026-06-17,AMZN,233.0000,252.0000,246.0000,2026-06-18,244.3900,0.3220,0.0202,241.0108,250.9892,241.0328,250.9672,241.0218,250.9782,True,True,True,True
2026-06-17,META,550.0000,625.0000,600.0000,2026-06-18,577.2200,0.4131,0.0280,584.3866,615.6134,583.1835,616.8165,583.7851,616.2149,True,False,False,False
2026-06-17,GOOGL,354.0000,376.0000,373.0000,2026-06-18,368.0300,0.3168,0.0180,365.5573,380.4427,366.2863,379.7137,365.9218,380.0782,True,True,True,True
2026-06-17,TSLA,375.0000,415.0000,405.0000,2026-06-18,400.4900,0.4028,0.0298,394.7226,415.2774,392.9480,417.0520,393.8353,416.1647,True,True,True,True
2026-06-17,NVDA,197.0000,219.0000,207.0000,2026-06-18,210.6900,0.3791,0.0278,202.0572,211.9428,201.2434,212.7566,201.6503,212.3497,True,True,True,True
2026-06-17,ORCL,168.0000,199.0000,188.0000,2026-06-18,184.2900,0.5720,0.0529,181.2259,194.7741,178.0636,197.9364,179.6447,196.3553,True,True,True,True
2026-06-18,MSFT,372.0000,409.0000,379.0000,,,,,,,,,,,False,False,False,False
2026-06-18,AAPL,285.0000,309.0000,296.0000,,,,,,,,,,,False,False,False,False
2026-06-18,AMZN,233.0000,251.0000,238.0000,,,,,,,,,,,False,False,False,False
2026-06-18,META,552.0000,599.0000,568.0000,,,,,,,,,,,False,False,False,False
2026-06-18,GOOGL,352.0000,376.0000,364.0000,,,,,,,,,,,False,False,False,False
2026-06-18,NFLX,74.0000,82.0000,77.0000,,,,,,,,,,,False,False,False,False
2026-06-18,TSLA,375.0000,411.0000,396.0000,,,,,,,,,,,False,False,False,False
2026-06-18,NVDA,198.0000,214.0000,205.0000,,,,,,,,,,,False,False,False,False
2026-06-18,ORCL,170.0000,198.0000,184.0000,,,,,,,,,,,False,False,False,False
