method,n,close_hit,intraday_contained,pierce_up,pierce_down,pierce_both,mean_width,sample
Research Firm,1350,0.763704,0.600000,0.202222,0.200000,0.002222,27.000000,full
RV 1σ (20d),1350,0.522963,0.260741,0.351111,0.403704,0.015556,13.348600,full
RV 2σ (20d),1350,0.822222,0.684444,0.148889,0.167407,0.000741,26.697200,full
IV 2σ (hist),549,0.832423,0.730419,0.147541,0.122040,0.000000,29.515805,full
Blend 2σ w=0.5,549,0.839709,0.723133,0.154827,0.122040,0.000000,29.905830,full
Research Firm,549,0.759563,0.601093,0.247723,0.153005,0.001821,30.699454,iv_covered
RV 1σ (20d),549,0.513661,0.267760,0.393443,0.351548,0.012750,15.147928,iv_covered
RV 2σ (20d),549,0.830601,0.703097,0.169399,0.127505,0.000000,30.295856,iv_covered
IV 2σ (hist),549,0.832423,0.730419,0.147541,0.122040,0.000000,29.515805,iv_covered
Blend 2σ w=0.5,549,0.839709,0.723133,0.154827,0.122040,0.000000,29.905830,iv_covered
