date,ticker,firm_low,firm_high,prev_close,atm_iv,call_iv,put_iv,iv_skew,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,iv_1s_hit,iv_2s_hit,rv_1s_hit,rv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-01,MSFT,466.000000,499.000000,492.000000,,,,,0.013182,2025-12-02,487.827576,491.312058,484.163898,485.514431,498.485569,479.028862,504.971138,,,,,485.514431,498.485569,479.028862,504.971138,True,False,False,True,True,True,True
2025-12-01,AAPL,270.000000,283.000000,279.000000,,,,,0.009821,2025-12-02,285.659271,286.867019,282.105876,276.259836,281.740164,273.519672,284.480328,,,,,276.259836,281.740164,273.519672,284.480328,False,False,False,False,False,False,False
2025-12-01,AMZN,216.000000,237.000000,233.000000,,,,,0.021002,2025-12-02,234.419998,238.970001,233.550003,228.106630,237.893370,223.213260,242.786740,,,,,228.106630,237.893370,223.213260,242.786740,True,False,False,True,True,True,True
2025-12-01,META,566.000000,655.000000,648.000000,,,,,0.017939,2025-12-02,645.421326,646.189348,636.414782,636.375366,659.624634,624.750733,671.249267,,,,,636.375366,659.624634,624.750733,671.249267,True,False,False,True,True,True,True
2025-12-01,GOOGL,301.000000,337.000000,320.000000,,,,,0.024606,2025-12-02,315.193268,317.758256,313.296984,312.126019,327.873981,304.252038,335.747962,,,,,312.126019,327.873981,304.252038,335.747962,True,False,False,True,True,True,True
2025-12-01,NFLX,101.000000,111.000000,108.000000,,,,,0.021317,2025-12-02,109.349998,109.730003,107.519997,105.697787,110.302213,103.395573,112.604427,,,,,105.697787,110.302213,103.395573,112.604427,True,False,False,True,True,True,True
2025-12-01,TSLA,392.000000,440.000000,430.000000,,,,,0.032352,2025-12-02,429.239990,436.799988,422.119995,416.088629,443.911371,402.177257,457.822743,,,,,416.088629,443.911371,402.177257,457.822743,True,False,False,True,True,True,True
2025-12-01,NVDA,172.000000,185.000000,177.000000,,,,,0.026970,2025-12-02,181.440079,185.639614,179.980232,172.226233,181.773767,167.452467,186.547533,,,,,172.226233,181.773767,167.452467,186.547533,True,False,False,True,True,True,True
2025-12-01,ORCL,186.000000,220.000000,202.000000,,,,,0.027294,2025-12-02,199.871750,208.419215,198.778462,196.486558,207.513442,190.973115,213.026885,,,,,196.486558,207.513442,190.973115,213.026885,True,False,False,True,True,True,True
2025-12-02,MSFT,466.000000,497.000000,487.000000,,,,,0.013355,2025-12-03,475.611969,482.093086,473.093187,480.496285,493.503715,473.992571,500.007429,,,,,480.496285,493.503715,473.992571,500.007429,True,False,False,False,True,False,True
2025-12-02,AAPL,275.000000,286.000000,283.000000,,,,,0.009840,2025-12-03,283.623047,288.084759,282.774617,280.215188,285.784812,277.430376,288.569624,,,,,280.215188,285.784812,277.430376,288.569624,True,False,False,True,True,True,True
2025-12-02,AMZN,217.000000,238.000000,234.000000,,,,,0.018586,2025-12-03,232.380005,233.380005,230.610001,229.650822,238.349178,225.301643,242.698357,,,,,229.650822,238.349178,225.301643,242.698357,True,False,False,True,True,True,True
2025-12-02,META,568.000000,657.000000,641.000000,,,,,0.017663,2025-12-03,637.940857,647.166862,635.896187,629.677753,652.322247,618.355506,663.644494,,,,,629.677753,652.322247,618.355506,663.644494,True,False,False,True,True,True,True
2025-12-02,GOOGL,304.000000,336.000000,315.000000,,,,,0.024604,2025-12-03,319.005798,320.951972,313.486599,307.249674,322.750326,299.499349,330.500651,,,,,307.249674,322.750326,299.499349,330.500651,True,False,False,True,True,True,True
2025-12-02,NFLX,100.000000,112.000000,109.000000,,,,,0.020998,2025-12-03,103.959999,106.870003,102.029999,106.711225,111.288775,104.422451,113.577549,,,,,106.711225,111.288775,104.422451,113.577549,True,False,False,False,False,False,False
2025-12-02,TSLA,391.000000,444.000000,430.000000,,,,,0.031659,2025-12-03,446.739990,447.920013,431.109985,416.386462,443.613538,402.772923,457.227077,,,,,416.386462,443.613538,402.772923,457.227077,False,False,False,False,True,False,True
2025-12-02,NVDA,173.000000,186.000000,180.000000,,,,,0.026427,2025-12-03,179.570282,182.429969,179.090339,175.243068,184.756932,170.486137,189.513863,,,,,175.243068,184.756932,170.486137,189.513863,True,False,False,True,True,True,True
2025-12-02,ORCL,185.000000,210.000000,201.000000,,,,,0.027432,2025-12-03,206.461243,206.650085,198.182118,195.486073,206.513927,189.972145,212.027855,,,,,195.486073,206.513927,189.972145,212.027855,True,False,False,True,True,True,True
2025-12-03,MSFT,467.000000,498.000000,490.000000,,,,,0.014271,2025-12-04,478.708160,479.186043,474.377440,483.007263,496.992737,476.014525,503.985475,,,,,483.007263,496.992737,476.014525,503.985475,True,False,False,False,True,False,True
2025-12-03,AAPL,276.000000,290.000000,286.000000,,,,,0.010105,2025-12-04,280.179443,284.201968,278.073341,283.109955,288.890045,280.219910,291.780090,,,,,283.109955,288.890045,280.219910,291.780090,True,False,False,False,False,False,False
2025-12-03,AMZN,218.000000,240.000000,234.000000,,,,,0.018310,2025-12-04,229.110001,233.500000,226.800003,229.715533,238.284467,225.431066,242.568934,,,,,229.715533,238.284467,225.431066,242.568934,True,False,False,False,True,False,True
2025-12-03,META,588.000000,670.000000,647.000000,,,,,0.017453,2025-12-04,659.813965,674.346115,658.337763,635.708011,658.291989,624.416022,669.583978,,,,,635.708011,658.291989,624.416022,669.583978,True,False,False,False,True,False,True
2025-12-03,GOOGL,306.000000,336.000000,316.000000,,,,,0.023768,2025-12-04,316.999756,321.730490,314.085475,308.489369,323.510631,300.978738,331.021262,,,,,308.489369,323.510631,300.978738,331.021262,True,False,False,True,True,True,True
2025-12-03,NFLX,101.000000,112.000000,109.000000,,,,,0.023693,2025-12-04,103.220001,103.800003,101.769997,106.417478,111.582522,103.834955,114.165045,,,,,106.417478,111.582522,103.834955,114.165045,True,False,False,False,False,False,False
2025-12-03,TSLA,392.000000,446.000000,429.000000,,,,,0.031074,2025-12-04,454.529999,454.630005,445.390015,415.669357,442.330643,402.338715,455.661285,,,,,415.669357,442.330643,402.338715,455.661285,False,False,False,False,True,False,True
2025-12-03,NVDA,174.000000,187.000000,181.000000,,,,,0.025266,2025-12-04,183.370087,184.510024,179.950273,176.426835,185.573165,171.853669,190.146331,,,,,176.426835,185.573165,171.853669,190.146331,True,False,False,True,True,True,True
2025-12-03,ORCL,186.000000,209.000000,201.000000,,,,,0.028486,2025-12-04,213.020950,214.094356,205.059878,195.274247,206.725753,189.548493,212.451507,,,,,195.274247,206.725753,189.548493,212.451507,False,False,False,False,False,False,False
2025-12-04,MSFT,465.000000,492.000000,478.000000,,,,,0.014216,2025-12-05,481.017883,481.256810,476.756860,471.204979,484.795021,464.409958,491.590042,,,,,471.204979,484.795021,464.409958,491.590042,True,False,False,True,True,True,True
2025-12-04,AAPL,277.000000,291.000000,284.000000,,,,,0.010627,2025-12-05,278.263000,280.618640,277.534343,280.981874,287.018126,277.963748,290.036252,,,,,280.981874,287.018126,277.963748,290.036252,True,False,False,False,True,False,True
2025-12-04,AMZN,218.000000,241.000000,232.000000,,,,,0.018384,2025-12-05,229.529999,231.240005,228.550003,227.734816,236.265184,223.469633,240.530367,,,,,227.734816,236.265184,223.469633,240.530367,True,False,False,True,True,True,True
2025-12-04,META,583.000000,657.000000,640.000000,,,,,0.018788,2025-12-05,671.673096,672.939821,660.671740,627.975514,652.024486,615.951027,664.048973,,,,,627.975514,652.024486,615.951027,664.048973,False,False,False,False,False,False,False
2025-12-04,GOOGL,311.000000,337.000000,320.000000,,,,,0.023599,2025-12-05,320.642578,322.528902,318.546704,312.448195,327.551805,304.896390,335.103610,,,,,312.448195,327.551805,304.896390,335.103610,True,False,False,True,True,True,True
2025-12-04,NFLX,99.000000,109.000000,104.000000,,,,,0.023653,2025-12-05,100.239998,104.790001,97.739998,101.540130,106.459870,99.080260,108.919740,,,,,101.540130,106.459870,99.080260,108.919740,True,False,False,False,True,False,True
2025-12-04,TSLA,406.000000,461.000000,447.000000,,,,,0.029957,2025-12-05,455.000000,458.869995,451.660004,433.609375,460.390625,420.218750,473.781250,,,,,433.609375,460.390625,420.218750,473.781250,True,False,False,True,True,True,True
2025-12-04,NVDA,175.000000,185.000000,180.000000,,,,,0.025713,2025-12-05,182.400131,184.650009,180.900212,175.371671,184.628329,170.743343,189.256657,,,,,175.371671,184.628329,170.743343,189.256657,True,False,False,True,True,True,True
2025-12-04,ORCL,190.000000,211.000000,208.000000,,,,,0.029663,2025-12-05,216.251083,218.159355,212.315263,201.830071,214.169929,195.660143,220.339857,,,,,201.830071,214.169929,195.660143,220.339857,False,False,False,False,True,False,True
2025-12-05,MSFT,467.000000,495.000000,481.000000,,,,,0.013690,2025-12-08,488.843048,490.117372,482.232502,474.415168,487.584832,467.830336,494.169664,,,,,474.415168,487.584832,467.830336,494.169664,True,False,False,False,True,False,True
2025-12-05,AAPL,275.000000,290.000000,281.000000,,,,,0.010788,2025-12-08,277.374664,279.151362,275.637870,277.968503,284.031497,274.937006,287.062994,,,,,277.968503,284.031497,274.937006,287.062994,True,False,False,False,True,False,True
2025-12-05,AMZN,220.000000,240.000000,229.000000,,,,,0.017498,2025-12-08,226.889999,230.830002,226.270004,224.992934,233.007066,220.985867,237.014133,,,,,224.992934,233.007066,220.985867,237.014133,True,False,False,True,True,True,True
2025-12-05,META,599.000000,679.000000,662.000000,,,,,0.017805,2025-12-08,665.070251,674.954578,663.344759,650.213258,673.786742,638.426516,685.573484,,,,,650.213258,673.786742,638.426516,685.573484,True,False,False,True,True,True,True
2025-12-05,GOOGL,307.000000,333.000000,318.000000,,,,,0.023610,2025-12-08,313.312195,320.023461,310.815445,310.492178,325.507822,302.984356,333.015644,,,,,310.492178,325.507822,302.984356,333.015644,True,False,False,True,True,True,True
2025-12-05,NFLX,98.000000,109.000000,103.000000,,,,,0.024351,2025-12-08,96.790001,99.889999,95.300003,100.491800,105.508200,97.983600,108.016400,,,,,100.491800,105.508200,97.983600,108.016400,False,False,False,False,False,False,False
2025-12-05,TSLA,408.000000,462.000000,455.000000,,,,,0.028830,2025-12-08,439.579987,449.750000,435.250000,441.882319,468.117681,428.764638,481.235362,,,,,441.882319,468.117681,428.764638,481.235362,True,False,False,False,True,False,True
2025-12-05,NVDA,176.000000,186.000000,183.000000,,,,,0.024476,2025-12-08,185.539963,187.989827,182.390124,178.520907,187.479093,174.041813,191.958187,,,,,178.520907,187.479093,174.041813,191.958187,True,False,False,True,True,True,True
2025-12-05,ORCL,192.000000,223.000000,214.000000,,,,,0.029725,2025-12-08,219.193008,223.377302,215.585190,207.638747,220.361253,201.277493,226.722507,,,,,207.638747,220.361253,201.277493,226.722507,True,False,False,True,True,True,True
