ticker,date
AAPL,2026-07-30
AAPL,2026-04-30
AAPL,2026-01-29
AAPL,2025-10-30
AAPL,2025-07-31
AAPL,2025-05-01
AAPL,2025-01-30
AAPL,2024-10-31
AAPL,2024-08-01
AAPL,2024-05-02
AAPL,2024-02-01
AAPL,2023-11-02
AAPL,2023-08-03
AAPL,2023-05-04
AAPL,2023-02-02
AAPL,2022-10-27
AAPL,2022-07-28
AAPL,2022-04-28
AAPL,2022-01-27
AAPL,2021-10-28
AAPL,2021-07-27
AAPL,2021-04-28
AAPL,2021-01-27
AAPL,2020-10-29
AAPL,2020-07-30
AAPL,2020-04-30
AAPL,2020-01-28
AAPL,2019-10-30
AAPL,2019-07-30
AAPL,2019-04-30
AAPL,2019-01-29
AAPL,2018-11-01
AAPL,2018-07-31
AAPL,2018-05-01
AAPL,2018-02-01
AAPL,2017-11-02
AAPL,2017-08-01
AAPL,2017-05-02
AAPL,2017-01-31
AAPL,2016-10-25
AAPL,2016-07-26
AAPL,2016-04-26
AAPL,2016-01-26
AAPL,2015-10-27
AAPL,2015-07-21
AAPL,2015-04-27
AAPL,2015-01-27
AAPL,2014-10-20
AAPL,2014-07-22
AAPL,2014-04-23
AMZN,2026-07-30
AMZN,2026-04-29
AMZN,2026-02-05
AMZN,2025-10-30
AMZN,2025-07-31
AMZN,2025-05-01
AMZN,2025-02-06
AMZN,2024-10-31
AMZN,2024-08-01
AMZN,2024-04-30
AMZN,2024-02-01
AMZN,2023-10-26
AMZN,2023-08-03
AMZN,2023-04-27
AMZN,2023-02-02
AMZN,2022-10-27
AMZN,2022-07-28
AMZN,2022-04-28
AMZN,2022-02-03
AMZN,2021-10-28
AMZN,2021-07-29
AMZN,2021-04-29
AMZN,2021-02-02
AMZN,2020-10-29
AMZN,2020-07-30
AMZN,2020-04-30
AMZN,2020-01-30
AMZN,2019-10-24
AMZN,2019-07-25
AMZN,2019-04-25
AMZN,2019-01-31
AMZN,2018-10-25
AMZN,2018-07-26
AMZN,2018-04-26
AMZN,2018-02-01
AMZN,2017-10-26
AMZN,2017-07-27
AMZN,2017-04-27
AMZN,2017-02-02
AMZN,2016-10-27
AMZN,2016-07-28
AMZN,2016-04-28
AMZN,2016-01-28
AMZN,2015-10-22
AMZN,2015-07-23
AMZN,2015-04-23
AMZN,2015-01-29
AMZN,2014-10-23
AMZN,2014-07-24
AMZN,2014-04-24
GOOGL,2026-07-22
GOOGL,2026-04-29
GOOGL,2026-02-04
GOOGL,2025-10-29
GOOGL,2025-07-23
GOOGL,2025-04-24
GOOGL,2025-02-04
GOOGL,2024-10-29
GOOGL,2024-07-23
GOOGL,2024-04-25
GOOGL,2024-01-30
GOOGL,2023-10-24
GOOGL,2023-07-25
GOOGL,2023-04-25
GOOGL,2023-02-02
GOOGL,2022-10-25
GOOGL,2022-07-26
GOOGL,2022-04-26
GOOGL,2022-02-01
GOOGL,2021-10-26
GOOGL,2021-07-27
GOOGL,2021-04-27
GOOGL,2021-02-02
GOOGL,2020-10-29
GOOGL,2020-07-30
GOOGL,2020-04-28
GOOGL,2020-02-03
GOOGL,2019-10-28
GOOGL,2019-07-25
GOOGL,2019-04-29
GOOGL,2019-02-04
GOOGL,2018-10-25
GOOGL,2018-07-23
GOOGL,2018-04-23
GOOGL,2018-02-01
GOOGL,2017-10-26
GOOGL,2017-07-24
GOOGL,2017-04-27
GOOGL,2017-01-26
GOOGL,2016-10-27
GOOGL,2016-07-28
GOOGL,2016-04-21
GOOGL,2016-02-01
GOOGL,2015-10-22
GOOGL,2015-07-16
GOOGL,2015-04-23
GOOGL,2015-01-29
GOOGL,2014-10-16
GOOGL,2014-07-17
GOOGL,2014-04-16
META,2026-07-29
META,2026-04-29
META,2026-01-28
META,2025-10-29
META,2025-07-30
META,2025-04-30
META,2025-01-29
META,2024-10-30
META,2024-07-31
META,2024-04-24
META,2024-02-01
META,2023-10-25
META,2023-07-26
META,2023-04-26
META,2023-02-01
META,2022-10-26
META,2022-07-27
META,2022-04-27
META,2022-02-02
META,2021-10-25
META,2021-07-28
META,2021-04-28
META,2021-01-27
META,2020-10-29
META,2020-07-30
META,2020-04-29
META,2020-01-29
META,2019-10-30
META,2019-07-24
META,2019-04-24
META,2019-01-30
META,2018-10-30
META,2018-07-25
META,2018-04-25
META,2018-01-31
META,2017-11-01
META,2017-07-26
META,2017-05-03
META,2017-02-01
META,2016-11-02
META,2016-07-27
META,2016-04-27
META,2016-01-27
META,2015-11-04
META,2015-07-29
META,2015-04-22
META,2015-01-28
META,2014-10-28
META,2014-07-23
META,2014-04-23
MSFT,2026-07-29
MSFT,2026-04-29
MSFT,2026-01-28
MSFT,2025-10-29
MSFT,2025-07-30
MSFT,2025-04-30
MSFT,2025-01-29
MSFT,2024-10-30
MSFT,2024-07-30
MSFT,2024-04-25
MSFT,2024-01-30
MSFT,2023-10-24
MSFT,2023-07-25
MSFT,2023-04-25
MSFT,2023-01-24
MSFT,2022-10-25
MSFT,2022-07-26
MSFT,2022-04-26
MSFT,2022-01-25
MSFT,2021-10-26
MSFT,2021-07-27
MSFT,2021-04-27
MSFT,2021-01-26
MSFT,2020-10-27
MSFT,2020-07-22
MSFT,2020-04-29
MSFT,2020-01-29
MSFT,2019-10-23
MSFT,2019-07-18
MSFT,2019-04-24
MSFT,2019-01-30
MSFT,2018-10-24
MSFT,2018-07-19
MSFT,2018-04-26
MSFT,2018-01-31
MSFT,2017-10-26
MSFT,2017-07-20
MSFT,2017-04-27
MSFT,2017-01-26
MSFT,2016-10-20
MSFT,2016-07-19
MSFT,2016-04-21
MSFT,2016-01-28
MSFT,2015-10-22
MSFT,2015-07-21
MSFT,2015-04-23
MSFT,2015-01-26
MSFT,2014-10-23
MSFT,2014-07-22
MSFT,2014-04-24
NFLX,2026-07-16
NFLX,2026-04-16
NFLX,2026-01-20
NFLX,2025-10-21
NFLX,2025-07-17
NFLX,2025-04-17
NFLX,2025-01-21
NFLX,2024-10-17
NFLX,2024-07-18
NFLX,2024-04-18
NFLX,2024-01-23
NFLX,2023-10-18
NFLX,2023-07-19
NFLX,2023-04-18
NFLX,2023-01-19
NFLX,2022-10-18
NFLX,2022-07-19
NFLX,2022-04-19
NFLX,2022-01-20
NFLX,2021-10-19
NFLX,2021-07-20
NFLX,2021-04-20
NFLX,2021-01-19
NFLX,2020-10-20
NFLX,2020-07-16
NFLX,2020-04-21
NFLX,2020-01-21
NFLX,2019-10-16
NFLX,2019-07-17
NFLX,2019-04-16
NFLX,2019-01-17
NFLX,2018-10-16
NFLX,2018-07-16
NFLX,2018-04-16
NFLX,2018-01-22
NFLX,2017-10-16
NFLX,2017-07-17
NFLX,2017-04-17
NFLX,2017-01-18
NFLX,2016-10-17
NFLX,2016-07-18
NFLX,2016-04-18
NFLX,2016-01-19
NFLX,2015-10-14
NFLX,2015-07-15
NFLX,2015-04-15
NFLX,2015-01-20
NFLX,2014-10-15
NFLX,2014-07-21
NFLX,2014-04-21
NVDA,2026-08-26
NVDA,2026-05-20
NVDA,2026-02-25
NVDA,2025-11-19
NVDA,2025-08-27
NVDA,2025-05-28
NVDA,2025-02-26
NVDA,2024-11-20
NVDA,2024-08-28
NVDA,2024-05-22
NVDA,2024-02-21
NVDA,2023-11-21
NVDA,2023-08-23
NVDA,2023-05-24
NVDA,2023-02-22
NVDA,2022-11-16
NVDA,2022-08-24
NVDA,2022-05-25
NVDA,2022-02-16
NVDA,2021-11-17
NVDA,2021-08-18
NVDA,2021-05-26
NVDA,2021-02-24
NVDA,2020-11-18
NVDA,2020-08-19
NVDA,2020-05-21
NVDA,2020-02-13
NVDA,2019-11-14
NVDA,2019-08-15
NVDA,2019-05-16
NVDA,2019-02-14
NVDA,2018-11-15
NVDA,2018-08-16
NVDA,2018-05-10
NVDA,2018-02-08
NVDA,2017-11-09
NVDA,2017-08-10
NVDA,2017-05-09
NVDA,2017-02-09
NVDA,2016-11-10
NVDA,2016-08-11
NVDA,2016-05-12
NVDA,2016-02-17
NVDA,2015-11-05
NVDA,2015-08-06
NVDA,2015-05-07
NVDA,2015-02-11
NVDA,2014-11-06
NVDA,2014-08-07
NVDA,2014-05-08
ORCL,2026-09-09
ORCL,2026-06-10
ORCL,2026-03-10
ORCL,2025-12-10
ORCL,2025-09-09
ORCL,2025-06-11
ORCL,2025-03-10
ORCL,2024-12-09
ORCL,2024-09-09
ORCL,2024-06-11
ORCL,2024-03-11
ORCL,2023-12-11
ORCL,2023-09-11
ORCL,2023-06-12
ORCL,2023-03-09
ORCL,2022-12-12
ORCL,2022-09-12
ORCL,2022-06-13
ORCL,2022-03-10
ORCL,2021-12-09
ORCL,2021-09-13
ORCL,2021-06-15
ORCL,2021-03-10
ORCL,2020-12-10
ORCL,2020-09-10
ORCL,2020-06-16
ORCL,2020-03-12
ORCL,2019-12-12
ORCL,2019-09-11
ORCL,2019-06-19
ORCL,2019-03-14
ORCL,2018-12-17
ORCL,2018-09-17
ORCL,2018-06-19
ORCL,2018-03-19
ORCL,2017-12-14
ORCL,2017-09-14
ORCL,2017-06-21
ORCL,2017-03-15
ORCL,2016-12-15
ORCL,2016-09-15
ORCL,2016-06-16
ORCL,2016-03-15
ORCL,2015-12-16
ORCL,2015-09-16
ORCL,2015-06-17
ORCL,2015-03-17
ORCL,2014-12-17
ORCL,2014-09-18
ORCL,2014-06-19
TSLA,2026-07-22
TSLA,2026-04-22
TSLA,2026-01-28
TSLA,2025-10-22
TSLA,2025-07-23
TSLA,2025-04-22
TSLA,2025-01-29
TSLA,2024-10-23
TSLA,2024-07-23
TSLA,2024-04-23
TSLA,2024-01-24
