date,ticker,atm_iv,call_iv,put_iv,iv_skew,aq_hist_vol
2026-04-10,AAPL,0.28011817,0.27996850,0.28026783,,0.21952122
2026-04-10,AMZN,0.41716905,0.41481269,0.41952541,0.04531256,0.36720227
2026-04-10,GOOGL,0.35771754,0.35929022,0.35614486,0.04317804,0.35909208
2026-04-10,META,0.41757842,0.41868516,0.41647168,0.05014524,0.52837223
2026-04-10,MSFT,0.37058410,0.37146783,0.36970037,0.03633699,0.21369685
2026-04-10,NFLX,0.39923533,0.39869345,0.39977722,,0.25894000
2026-04-10,NVDA,0.32894286,0.32734930,0.33053642,0.05514941,0.34791219
2026-04-10,ORCL,0.51697615,0.50925716,0.52469514,0.04658242,0.38343704
2026-04-10,TSLA,0.46740515,0.46690181,0.46790849,0.03162878,0.40647824
2026-04-13,AAPL,0.29230040,0.29274026,0.29186054,,0.19631608
2026-04-13,AMZN,0.41544671,0.41637150,0.41452192,0.04823773,0.36463022
2026-04-13,GOOGL,0.37292191,0.37050952,0.37533430,0.04503766,0.36318116
2026-04-13,META,0.42082634,0.41517578,0.42647690,0.03880527,0.51539418
2026-04-13,MSFT,0.38406830,0.38516438,0.38297223,0.03001434,0.25549173
2026-04-13,NFLX,0.40303596,0.40441583,0.40165609,,0.26217673
2026-04-13,NVDA,0.33585076,0.33600855,0.33569296,0.07246735,0.34569502
2026-04-13,ORCL,0.55517460,0.55666864,0.55368056,0.02484740,0.58661267
2026-04-13,TSLA,0.46454158,0.46527160,0.46381155,0.04147849,0.41059292
2026-04-14,AAPL,0.28973034,0.29434428,0.28511640,,0.19166837
2026-04-14,AMZN,0.42321424,0.42610977,0.42031871,0.02437767,0.37041781
2026-04-14,GOOGL,0.36886219,0.36921104,0.36851334,0.02456456,0.37136624
2026-04-14,META,0.42421104,0.42312810,0.42529398,0.03681593,0.52242514
2026-04-14,MSFT,0.38363355,0.38540151,0.38186559,0.04127898,0.26244378
2026-04-14,NFLX,0.40826710,0.40840940,0.40812480,,0.27076081
2026-04-14,NVDA,0.33953248,0.34023564,0.33882933,0.05178629,0.35794595
2026-04-14,ORCL,0.54446941,0.54773531,0.54120352,0.00417739,0.59353786
2026-04-14,TSLA,0.46598364,0.46792468,0.46404261,0.02992712,0.42139754
2026-04-15,AAPL,0.29565022,0.29519534,0.29610509,,0.21187382
2026-04-15,AMZN,0.41119849,0.41298606,0.40941092,0.04060125,0.37003418
2026-04-15,GOOGL,0.37067221,0.37125496,0.37008946,0.03051815,0.37178989
2026-04-15,META,0.43001227,0.43057623,0.42944830,0.03381592,0.51906704
2026-04-15,MSFT,0.38724081,0.38969028,0.38479134,0.02934029,0.30406177
2026-04-15,NFLX,0.41125429,0.41157258,0.41093600,,0.27114690
2026-04-15,NVDA,0.34967111,0.35101108,0.34833114,0.06056910,0.35637141
2026-04-15,ORCL,0.54437113,0.54820339,0.54053887,0.01943597,0.60827354
2026-04-15,TSLA,0.50155170,0.50355187,0.49955154,0.00395349,0.49697799
2026-04-16,AAPL,0.28785748,0.28971848,0.28599649,,0.21689943
2026-04-16,AMZN,0.40317818,0.40432835,0.40202801,0.02376382,0.36880594
2026-04-16,GOOGL,0.36466128,0.36180811,0.36751445,0.02973702,0.36977386
2026-04-16,META,0.41791263,0.41728866,0.41853660,0.03617905,0.51774220
2026-04-16,MSFT,0.37869901,0.37894618,0.37845184,0.04256826,0.31192672
2026-04-16,NFLX,0.42495877,0.41343414,0.43648340,,0.26656986
2026-04-16,NVDA,0.34760993,0.34675607,0.34846379,0.05637782,0.35497693
2026-04-16,ORCL,0.53233153,0.53203556,0.53262750,0.00696082,0.62558179
2026-04-16,TSLA,0.47794861,0.47838047,0.47751674,0.00182733,0.49627907
2026-04-17,AAPL,0.27885452,0.27877732,0.27893172,,0.22079718
2026-04-17,AMZN,0.39810488,0.39611853,0.40009122,0.02349975,0.35023589
2026-04-17,GOOGL,0.35161733,0.35194565,0.35128901,0.02240392,0.36865036
2026-04-17,META,0.41263093,0.41196901,0.41329284,0.03299140,0.51654365
2026-04-17,MSFT,0.36156533,0.36194278,0.36118788,0.03135139,0.30191284
2026-04-17,NFLX,0.29579478,0.29517666,0.29641290,,0.46140692
2026-04-17,NVDA,0.34604529,0.34498160,0.34710897,0.05190253,0.35443278
2026-04-17,ORCL,0.52028348,0.52157078,0.51899618,0.02305933,0.62862508
2026-04-17,TSLA,0.46500748,0.46622618,0.46378878,0.00433049,0.50418024
2026-04-20,AAPL,0.28405749,0.28574804,0.28236695,,0.22368650
2026-04-20,AMZN,0.40367263,0.40409401,0.40325125,0.01884054,0.34965654
2026-04-20,GOOGL,0.36021592,0.35941862,0.36101322,0.02606104,0.37147203
2026-04-20,META,0.41710756,0.41600101,0.41821410,0.02937297,0.52787149
2026-04-20,MSFT,0.36791868,0.36785647,0.36798089,0.02760083,0.30101719
2026-04-20,NFLX,0.30692392,0.30774002,0.30610782,,0.46832990
2026-04-20,NVDA,0.38880049,0.39168139,0.38591959,0.06527707,0.32806090
2026-04-20,ORCL,0.53743549,0.53145272,0.54341826,0.01162470,0.62242314
2026-04-20,TSLA,0.46746801,0.46890390,0.46603213,0.01136715,0.49230139
2026-04-21,AAPL,0.29435413,0.29538356,0.29332470,,0.24202272
2026-04-21,AMZN,0.40871585,0.40991605,0.40751564,0.03014464,0.34095554
2026-04-21,GOOGL,0.37584023,0.37369799,0.37798247,0.02322872,0.36932326
2026-04-21,META,0.42559823,0.42592337,0.42527308,0.03536919,0.51549299
2026-04-21,MSFT,0.37216062,0.37425966,0.37006159,0.03948775,0.29540626
2026-04-21,NFLX,0.30793423,0.31049003,0.30537844,,0.46502282
2026-04-21,NVDA,0.40305009,0.40416858,0.40193159,0.07024419,0.32624854
2026-04-21,ORCL,0.55438324,0.55721858,0.55154790,0.00671646,0.60792181
2026-04-21,TSLA,0.47152885,0.47287292,0.47018479,0.01398249,0.48425394
2026-04-22,AAPL,0.27663064,0.27862591,0.27463536,,0.25197495
2026-04-22,AMZN,0.41112628,0.41186884,0.41038372,0.04471883,0.34029082
2026-04-22,GOOGL,0.37202411,0.37481366,0.36923457,0.03587244,0.37351980
2026-04-22,META,0.42281549,0.42378628,0.42184471,0.03993776,0.51389312
2026-04-22,MSFT,0.37130725,0.37526023,0.36735426,0.03739865,0.30005440
2026-04-22,NFLX,0.29918952,0.30092769,0.29745135,,0.46189316
2026-04-22,NVDA,0.41330021,0.41346415,0.41313627,0.06280804,0.32504196
2026-04-22,ORCL,0.56911665,0.56770790,0.57052541,0.02422790,0.60968756
2026-04-22,TSLA,0.46900506,0.46894732,0.46906280,-0.00404810,0.47002307
2026-04-23,AAPL,0.27021627,0.27168165,0.26875089,,0.25191862
2026-04-23,AMZN,0.41494490,0.41526570,0.41462411,0.03644592,0.33209638
2026-04-23,GOOGL,0.37136696,0.37414828,0.36858565,0.02397090,0.33761533
2026-04-23,META,0.43504930,0.43633082,0.43376779,0.03301089,0.51691692
2026-04-23,MSFT,0.38738192,0.39361565,0.38114819,0.03609116,0.32129243
2026-04-23,NFLX,0.29237648,0.29592167,0.28883130,,0.45206889
2026-04-23,NVDA,0.41589323,0.41689219,0.41489427,0.06475725,0.33172370
2026-04-23,ORCL,0.55087260,0.54885236,0.55289284,0.01053375,0.62741269
2026-04-23,TSLA,0.41657194,0.41810107,0.41504282,0.02111870,0.48669451
2026-04-24,AAPL,0.27257787,0.27099855,0.27415720,,0.25570935
2026-04-24,AMZN,0.41082568,0.40823005,0.41342131,0.01549515,0.34068065
2026-04-24,GOOGL,0.35716245,0.36192203,0.35240286,0.00471832,0.33827038
2026-04-24,META,0.43002859,0.43064023,0.42941695,0.03133586,0.52091248
2026-04-24,MSFT,0.38737473,0.38743538,0.38731408,0.00854986,0.32375858
2026-04-24,NFLX,0.29303955,0.29215165,0.29392745,,0.44950591
2026-04-24,NVDA,0.43141529,0.43200216,0.43082842,0.04061015,0.35195866
2026-04-24,ORCL,0.54608300,0.55588608,0.53627993,0.02684555,0.63151804
2026-04-24,TSLA,0.40692864,0.40730292,0.40655436,0.01655430,0.48653859
2026-04-27,AAPL,0.28047559,0.28043883,0.28051234,,0.25899070
2026-04-27,AMZN,0.41202812,0.41320007,0.41085616,0.01352899,0.28174995
2026-04-27,GOOGL,0.37201819,0.37595141,0.36808498,0.01428571,0.28096498
2026-04-27,META,0.44280274,0.44269039,0.44291510,0.01339897,0.37376040
2026-04-27,MSFT,0.40229175,0.40539331,0.39919019,0.02115803,0.30085166
2026-04-27,NFLX,0.29497850,0.29817479,0.29178221,,0.46095110
2026-04-27,NVDA,0.45547829,0.45604242,0.45491416,0.03150098,0.30246251
2026-04-27,ORCL,0.55727137,0.56167002,0.55287272,0.01115487,0.62819652
2026-04-27,TSLA,0.41474292,0.41617577,0.41331008,0.02118348,0.46972023
2026-04-28,AAPL,0.27113680,0.27058514,0.27168846,,0.25390206
2026-04-28,AMZN,0.41055628,0.40684879,0.41426376,0.01329316,0.28235391
2026-04-28,GOOGL,0.36103914,0.36297978,0.35909850,0.01135262,0.27800778
2026-04-28,META,0.43269323,0.43271690,0.43266957,0.00242719,0.37331938
2026-04-28,MSFT,0.40677575,0.40920385,0.40434765,0.00362945,0.29328931
2026-04-28,NFLX,0.29043647,0.29185171,0.28902124,,0.45086826
2026-04-28,NVDA,0.43763253,0.43744275,0.43782231,0.03598085,0.31129250
2026-04-28,ORCL,0.54231395,0.54019726,0.54443063,0.02368948,0.63842095
2026-04-28,TSLA,0.40315332,0.40557982,0.40072683,0.02110199,0.45895808
2026-04-29,AAPL,0.27691019,0.27599669,0.27782369,,0.25067337
2026-04-29,AMZN,0.43814074,0.44266853,0.43361294,0.01883225,0.28186814
2026-04-29,GOOGL,0.37035112,0.37920944,0.36149281,-0.00384585,0.27593063
2026-04-29,META,0.44162917,0.43881596,0.44444237,0.00035421,0.37544879
2026-04-29,MSFT,0.39660602,0.40239334,0.39081870,0.00833329,0.30133321
2026-04-29,NFLX,0.29575479,0.29460078,0.29690880,,0.45061251
2026-04-29,NVDA,0.44220956,0.44406841,0.44035071,0.04663567,0.31622590
2026-04-29,ORCL,0.54669715,0.55427847,0.53911584,0.00543689,0.64078108
2026-04-29,TSLA,0.39075035,0.39357045,0.38793026,0.01423500,0.45482645
2026-04-30,AAPL,0.29116304,0.29344070,0.28888539,,0.23464443
2026-04-30,AMZN,0.29743019,0.29267497,0.30218541,0.04772650,0.26957543
2026-04-30,GOOGL,0.31202430,0.31903861,0.30500999,0.03253046,0.37898910
2026-04-30,META,0.32553600,0.33241359,0.31865840,0.01929329,0.46452645
2026-04-30,MSFT,0.27653783,0.28184013,0.27123553,0.05131542,0.33222644
2026-04-30,NFLX,0.28484372,0.28959915,0.28008829,,0.43779391
2026-04-30,NVDA,0.44899803,0.45120473,0.44679132,0.04101154,0.33716522
2026-04-30,ORCL,0.52038831,0.52347526,0.51730135,0.03454111,0.61846369
2026-04-30,TSLA,0.39732588,0.39954000,0.39511175,0.00440561,0.43459808
2026-05-01,AAPL,0.22700287,0.22655048,0.22745525,,0.25468031
