Date,Ticker,Low,High,Prev. Close
12/1/2025,MSFT ,466,499,492
12/1/2025,AAPL ,270,283,279
12/1/2025,AMZN ,216,237,233
12/1/2025,META ,566,655,648
12/1/2025,GOOGL ,301,337,320
12/1/2025,NFLX ,101,111,108
12/1/2025,TSLA ,392,440,430
12/1/2025,NVDA ,172,185,177
12/1/2025,ORCL ,186,220,202
12/2/2025,MSFT ,466,497,487
12/2/2025,AAPL ,275,286,283
12/2/2025,AMZN ,217,238,234
12/2/2025,META ,568,657,641
12/2/2025,GOOGL ,304,336,315
12/2/2025,NFLX ,100,112,109
12/2/2025,TSLA ,391,444,430
12/2/2025,NVDA ,173,186,180
12/2/2025,ORCL ,185,210,201
12/3/2025,MSFT ,467,498,490
12/3/2025,AAPL ,276,290,286
12/3/2025,AMZN ,218,240,234
12/3/2025,META ,588,670,647
12/3/2025,GOOGL ,306,336,316
12/3/2025,NFLX ,101,112,109
12/3/2025,TSLA ,392,446,429
12/3/2025,NVDA ,174,187,181
12/3/2025,ORCL ,186,209,201
12/4/2025,MSFT ,465,492,478
12/4/2025,AAPL ,277,291,284
12/4/2025,AMZN ,218,241,232
12/4/2025,META ,583,657,640
12/4/2025,GOOGL ,311,337,320
12/4/2025,NFLX ,99,109,104
12/4/2025,TSLA ,406,461,447
12/4/2025,NVDA ,175,185,180
12/4/2025,ORCL ,190,211,208
12/5/2025,MSFT ,467,495,481
12/5/2025,AAPL ,275,290,281
12/5/2025,AMZN ,220,240,229
12/5/2025,META ,599,679,662
12/5/2025,GOOGL ,307,333,318
12/5/2025,NFLX ,98,109,103
12/5/2025,TSLA ,408,462,455
12/5/2025,NVDA ,176,186,183
12/5/2025,ORCL ,192,223,214
12/8/2025,MSFT ,469,494,483
12/8/2025,AAPL ,273,288,279
12/8/2025,AMZN ,223,238,230
12/8/2025,META ,608,680,673
12/8/2025,GOOGL ,311,330,321
12/8/2025,NFLX ,97,108,100
12/8/2025,TSLA ,419,463,455
12/8/2025,NVDA ,176,186,182
12/8/2025,ORCL ,188,224,218
12/9/2025,MSFT ,472,496,491
12/9/2025,AAPL ,273,287,278
12/9/2025,AMZN ,224,237,227
12/9/2025,META ,620,681,667
12/9/2025,GOOGL ,311,328,314
12/9/2025,NFLX ,93,105,97
12/9/2025,TSLA ,420,463,440
12/9/2025,NVDA ,179,194,186
12/9/2025,ORCL ,187,229,221
12/10/2025,MSFT ,474,497,492
12/10/2025,AAPL ,274,288,277
12/10/2025,AMZN ,224,236,228
12/10/2025,META ,623,679,657
12/10/2025,GOOGL ,310,326,317
12/10/2025,NFLX ,93,103,97
12/10/2025,TSLA ,425,462,445
12/10/2025,NVDA ,180,190,185
12/10/2025,ORCL ,188,231,222
12/11/2025,MSFT ,470,493,479
12/11/2025,AAPL ,274,288,279
12/11/2025,AMZN ,225,238,232
12/11/2025,META ,628,677,650
12/11/2025,GOOGL ,311,326,320
12/11/2025,NFLX ,90,99,93
12/11/2025,TSLA ,429,465,451
12/11/2025,NVDA ,177,189,184
12/11/2025,ORCL ,188,224,223
12/12/2025,MSFT ,471,492,483
12/12/2025,AAPL ,273,287,278
12/12/2025,AMZN ,225,237,230
12/12/2025,META ,627,674,653
12/12/2025,GOOGL ,310,325,312
12/12/2025,NFLX ,88,98,94
12/12/2025,TSLA ,434,465,447
