Date,Ticker,Low,High,Prev. Close
6/4/2026,MSFT,410,460,427
6/4/2026,AAPL,301,317,310
6/4/2026,AMZN,245,274,250
6/4/2026,META,585,635,623
6/4/2026,GOOGL,355,400,359
6/4/2026,NFLX,79,87,82
6/4/2026,TSLA,408,446,424
6/4/2026,NVDA,207,228,215
6/4/2026,ORCL,209,255,230
6/5/2026,MSFT,405,460,428
6/5/2026,AAPL,303,317,311
6/5/2026,AMZN,245,275,254
6/5/2026,META,590,635,628
6/5/2026,GOOGL,355,400,372
6/5/2026,NFLX,79,87,82
6/5/2026,TSLA,409,445,418
6/5/2026,NVDA,207,226,219
6/5/2026,ORCL,202,264,236
6/8/2026,MSFT,398,432,417
6/8/2026,AAPL,301,317,307
6/8/2026,AMZN,240,275,246
6/8/2026,META,577,626,593
6/8/2026,GOOGL,353,402,369
6/8/2026,NFLX,78,87,82
6/8/2026,TSLA,375,425,391
6/8/2026,NVDA,202,227,205
6/8/2026,ORCL,200,248,214
6/9/2026,MSFT,395,431,412
6/9/2026,AAPL,298,316,302
6/9/2026,AMZN,236,260,245
6/9/2026,META,575,627,585
6/9/2026,GOOGL,347,399,363
6/9/2026,NFLX,78,86,83
6/9/2026,TSLA,385,422,409
6/9/2026,NVDA,200,225,209
6/9/2026,ORCL,187,248,212
6/11/2026,MSFT,384,420,397
6/11/2026,AAPL,293,316,292
6/11/2026,AMZN,229,256,238
6/11/2026,META,559,611,571
6/11/2026,GOOGL,347,380,356
6/11/2026,NFLX,77,86,82
6/11/2026,TSLA,367,410,382
6/11/2026,NVDA,195,218,200
6/11/2026,ORCL,161,224,201
6/12/2026,MSFT,375,420,390
6/12/2026,AAPL,285,320,296
6/12/2026,AMZN,231,255,242
6/12/2026,META,555,611,568
6/12/2026,GOOGL,347,378,358
6/12/2026,NFLX,77,86,81
6/12/2026,TSLA,372,425,399
6/12/2026,NVDA,195,224,205
6/12/2026,ORCL,167,218,184
6/15/2026,MSFT,376,416,391
6/15/2026,AAPL,281,314,291
6/15/2026,AMZN,231,254,239
6/15/2026,META,548,604,567
6/15/2026,NFLX,78,85,80
6/15/2026,TSLA,380,425,406
6/15/2026,NVDA,197,225,205
6/15/2026,ORCL,170,212,184
6/16/2026,MSFT,379,415,400
6/16/2026,AAPL,284,315,296
6/16/2026,AMZN,233,253,246
6/16/2026,META,548,625,593
6/16/2026,GOOGL,355,376,369
6/16/2026,NFLX,79,85,82
6/16/2026,TSLA,378,424,411
6/16/2026,NVDA,201,222,212
6/16/2026,ORCL,170,208,193
6/17/2026,MSFT,376,414,394
6/17/2026,AAPL,283,313,299
6/17/2026,AMZN,233,252,246
6/17/2026,META,550,625,600
6/17/2026,GOOGL,354,376,373
6/17/2026,NFLX,79,82,79
6/17/2026,TSLA,375,415,405
6/17/2026,NVDA,197,219,207
6/17/2026,ORCL,168,199,188
6/18/2026,MSFT,372,409,379
6/18/2026,AAPL,285,309,296
6/18/2026,AMZN,233,251,238
6/18/2026,META,552,599,568
6/18/2026,GOOGL,352,376,364
6/18/2026,NFLX,74,82,77
6/18/2026,TSLA,375,411,396
6/18/2026,NVDA,198,214,205
6/18/2026,ORCL,170,198,184
