trigger,quiet_max,heavy_min,hold,n,win,avg,sharpe,total,max_dd
1.500000,1.500000,2.000000,3,182,0.593407,0.009846,1.590766,0.226554,-0.015241
2.000000,1.500000,2.000000,3,79,0.670886,0.013912,1.513435,0.131580,-0.011700
2.000000,1.200000,2.000000,3,53,0.698113,0.017736,1.458150,0.110401,-0.013076
1.500000,1.200000,2.000000,3,129,0.581395,0.010590,1.428005,0.167020,-0.014371
2.000000,1.500000,2.000000,5,77,0.701299,0.018677,1.425268,0.178608,-0.014824
1.500000,1.200000,2.000000,5,121,0.611570,0.015178,1.392113,0.231690,-0.028185
2.500000,1.500000,2.000000,3,37,0.783784,0.017973,1.389749,0.076691,-0.007974
1.500000,1.500000,2.000000,5,168,0.636905,0.013128,1.367081,0.287955,-0.043622
2.500000,1.500000,2.000000,5,37,0.729730,0.023519,1.354866,0.101992,-0.013549
2.000000,1.200000,2.000000,5,53,0.660377,0.019824,1.320747,0.126694,-0.014961
2.500000,1.200000,2.000000,3,31,0.741935,0.018757,1.241713,0.066421,-0.009531
2.500000,1.200000,2.000000,5,31,0.677419,0.023128,1.150532,0.083135,-0.013549
1.500000,1.500000,1.500000,5,233,0.596567,0.007302,0.832372,0.214601,-0.096353
2.000000,1.500000,1.500000,3,123,0.609756,0.006034,0.773927,0.087712,-0.054195
1.500000,1.500000,1.500000,3,257,0.556420,0.004088,0.738542,0.130353,-0.081179
1.500000,1.200000,1.500000,5,191,0.565445,0.006747,0.697947,0.156201,-0.096353
2.000000,1.200000,1.500000,3,97,0.608247,0.006012,0.644334,0.067357,-0.054195
2.000000,1.500000,1.500000,5,120,0.616667,0.006629,0.580753,0.093438,-0.071349
2.500000,1.500000,1.500000,3,58,0.655172,0.006498,0.539655,0.041761,-0.032103
1.500000,1.200000,1.500000,3,206,0.538835,0.003143,0.501794,0.078295,-0.081179
2.500000,1.200000,1.500000,3,52,0.615385,0.005641,0.420211,0.031824,-0.032103
2.000000,1.200000,1.500000,5,96,0.572917,0.004250,0.334946,0.045346,-0.071736
2.500000,1.500000,1.500000,5,58,0.603448,0.003934,0.207521,0.020917,-0.049706
2.500000,1.200000,1.500000,5,52,0.557692,0.001442,0.044448,0.003448,-0.049706
